name,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Samuel Kelly,male,group C,bachelor's degree,free/reduced,none,37,56,47
Robert Jones,female,group D,bachelor's degree,standard,none,79,89,89
Tina Livingston,male,group D,associate's degree,free/reduced,none,53,54,48
Ronald Waters,female,group E,bachelor's degree,standard,none,100,100,100
Danny West,male,group B,high school,standard,completed,72,65,68
Dr. Mary Wyatt DDS,male,group C,bachelor's degree,free/reduced,none,53,58,55
Robert Jenkins,male,group B,some college,free/reduced,none,54,54,45
Sharon Walker,female,group E,some college,standard,none,71,70,76
Sarah Parrish,female,group C,some college,free/reduced,none,77,90,91
Timothy Harris,male,group A,bachelor's degree,standard,completed,75,58,62
Thomas Murphy,female,group C,some college,standard,none,84,87,91
Ronald Davis II,female,group D,associate's degree,free/reduced,none,26,31,38
Ellen Hanson,male,group A,high school,free/reduced,completed,72,67,65
Jose Hubbard,female,group A,high school,free/reduced,completed,77,88,85
Rebecca Rodriguez MD,male,group C,some college,standard,none,91,74,76
Joshua Wilson,female,group C,associate's degree,standard,completed,83,85,90
Veronica Flores,female,group C,high school,standard,none,63,69,74
Rachael Jackson,female,group C,associate's degree,standard,completed,68,86,84
John Jenkins,female,group D,some high school,standard,none,59,67,61
Julie Williams,female,group B,associate's degree,standard,completed,90,90,91
Jessica Cannon,female,group D,bachelor's degree,standard,completed,71,76,83
Evelyn Costa,male,group E,bachelor's degree,standard,completed,76,62,66
Trevor Marquez,male,group D,associate's degree,standard,none,80,68,72
Angela Holmes,female,group D,master's degree,standard,none,55,64,70
Carla Wells,male,group E,associate's degree,standard,none,76,71,67
Lauren Morris,male,group B,high school,standard,completed,73,71,68
Garrett Hubbard,female,group D,associate's degree,free/reduced,none,52,59,56
Roger Smith,male,group C,some college,free/reduced,none,68,68,61
Michael Smith,male,group A,high school,standard,none,59,52,46
Kristopher Ellis,female,group B,associate's degree,standard,none,49,52,54
Dwayne Jenkins,male,group C,high school,standard,none,70,74,71
Tony Curtis,male,group D,some college,free/reduced,none,61,47,56
Lauren Avila,female,group C,associate's degree,free/reduced,none,60,75,74
Crystal Clarke,male,group B,some high school,standard,completed,64,53,57
Erica Dominguez,male,group A,associate's degree,free/reduced,completed,79,82,82
Roberto Collins,female,group A,associate's degree,free/reduced,none,65,85,76
Audrey Jackson,female,group C,associate's degree,standard,none,64,64,70
Daniel Harris,female,group C,some college,standard,none,83,83,90
Amanda Lawrence,female,group C,bachelor's degree,standard,none,81,88,90
Paula Ramirez,female,group B,high school,standard,none,54,64,68
Sean Taylor,male,group D,high school,standard,completed,68,64,66
Danielle Parker,female,group C,some college,standard,none,54,48,52
Sandra Taylor,female,group D,some college,free/reduced,completed,59,78,76
Heidi Shannon,female,group B,some high school,standard,none,66,69,68
Darius Dawson,male,group E,some college,standard,none,76,71,72
Tracy Valentine MD,female,group D,master's degree,standard,none,74,79,82
Ryan Hall,female,group B,associate's degree,standard,completed,94,87,92
Paul Hunt,male,group C,some college,free/reduced,none,63,61,54
Kimberly Cooper,female,group E,associate's degree,standard,completed,95,89,92
Scott Payne,female,group D,master's degree,free/reduced,none,40,59,54
Jason Hughes,female,group B,some high school,standard,none,82,82,80
Megan Wagner,male,group A,high school,standard,none,68,70,66
Mr. William Hoffman,male,group B,bachelor's degree,free/reduced,none,55,59,54
Joshua Rice,male,group C,master's degree,standard,none,79,78,77
Laura Rodriguez,female,group C,bachelor's degree,standard,none,86,92,87
Dr. Teresa Contreras,male,group D,some college,standard,none,76,71,73
Kerry James,male,group A,some high school,standard,none,64,50,43
Amy Boyd,male,group D,some high school,free/reduced,none,62,49,52
Michael Simpson,female,group B,some high school,standard,completed,54,61,62
Dana Watson,female,group B,master's degree,free/reduced,completed,77,97,94
Chelsea Robinson,female,group C,some high school,standard,completed,76,87,85
Christopher Bell,female,group D,some college,standard,none,74,89,84
Rachel Mccoy,female,group E,some college,standard,completed,66,74,73
Kathryn Hill,female,group D,some high school,standard,completed,66,78,78
Ashley Clark,female,group B,high school,free/reduced,completed,67,78,79
David Meadows,male,group D,some college,standard,none,71,49,52
Shane Fitzpatrick,female,group C,associate's degree,standard,none,91,86,84
Kelsey Frazier,male,group D,bachelor's degree,standard,none,69,58,57
Christina Green,male,group C,master's degree,free/reduced,none,54,59,50
Joyce Stevens,male,group C,high school,standard,completed,53,52,49
Michael Flowers,male,group E,some college,standard,none,68,60,59
Javier Molina,male,group C,some high school,free/reduced,completed,56,61,60
Donna Walters,female,group C,high school,free/reduced,none,36,53,43
Stephanie Munoz,female,group D,bachelor's degree,free/reduced,none,29,41,47
Russell Burch,female,group C,associate's degree,standard,none,62,74,70
Rebecca Hill,female,group C,associate's degree,standard,completed,68,67,73
Amy Rodriguez,female,group C,some high school,standard,none,47,54,53
Chloe Diaz,male,group E,associate's degree,standard,completed,62,61,58
Daniel Robinson,female,group E,associate's degree,standard,completed,79,88,94
William Brown,male,group B,high school,standard,completed,73,69,68
Christopher Bennett,female,group C,bachelor's degree,free/reduced,completed,66,83,83
Brooke Schneider,male,group C,associate's degree,standard,completed,51,60,58
Heather Barrett,female,group D,high school,standard,none,51,66,62
Corey Wong,male,group E,bachelor's degree,standard,completed,85,66,71
Sean Schneider,male,group A,associate's degree,standard,completed,97,92,86
Jonathan Jackson,male,group C,high school,standard,completed,75,69,68
Sheila Oneill,male,group D,associate's degree,free/reduced,completed,79,82,80
Benjamin Liu,female,group C,associate's degree,standard,none,81,77,79
Amanda Smith,female,group D,associate's degree,standard,none,82,95,89
Amanda Ramirez,female,group D,master's degree,standard,none,64,63,66
Albert Johnson,male,group E,some high school,free/reduced,completed,78,83,80
Michael Gonzalez,female,group A,some high school,standard,completed,92,100,97
Daniel Pierce,male,group C,high school,standard,completed,72,67,64
Richard Fletcher,female,group C,high school,free/reduced,none,62,67,64
Sara Barnett,male,group C,master's degree,standard,none,79,72,69
Christopher Hart,male,group C,some high school,free/reduced,none,79,76,65
Cassandra Trevino,male,group B,bachelor's degree,free/reduced,completed,87,90,88
Kristine Jackson,female,group B,associate's degree,standard,none,40,48,50
Michael Barnett,male,group D,some college,free/reduced,none,77,62,64
Jimmy Wallace,male,group E,associate's degree,standard,none,53,45,40
Rachel Baker,female,group C,some college,free/reduced,none,32,39,33
Jasmine Villa,female,group C,associate's degree,standard,completed,55,72,79
Laura Larson,male,group C,master's degree,free/reduced,none,61,67,66
Valerie Lucero,female,group B,associate's degree,free/reduced,none,53,70,70
Laura Spencer,male,group D,some high school,standard,none,73,66,62
Angela Rodriguez,female,group D,some college,standard,completed,74,75,79
Victoria Lopez,female,group C,some college,standard,none,63,74,74
William Gross,male,group C,bachelor's degree,standard,completed,96,90,92
Brooke Banks,female,group D,some college,free/reduced,completed,63,80,80
Lisa Russell,male,group B,bachelor's degree,free/reduced,none,48,51,46
Joanna Shelton,male,group B,associate's degree,standard,none,48,43,45
Amanda Welch,female,group E,bachelor's degree,free/reduced,completed,92,100,100
Jared Graham,female,group D,master's degree,free/reduced,completed,61,71,78
Philip Vincent,male,group B,high school,free/reduced,none,63,48,47
Andrew Hughes,male,group D,bachelor's degree,free/reduced,none,68,68,67
Krystal Alvarado,male,group B,some college,standard,completed,71,75,70
Aimee Hill,male,group A,bachelor's degree,standard,none,91,96,92
Hannah White,female,group C,some college,standard,none,53,62,56
Deanna Vargas,female,group C,high school,free/reduced,completed,50,66,64
Eileen Gaines,female,group E,high school,standard,none,74,81,71
Victoria Mcknight,male,group A,associate's degree,free/reduced,completed,40,55,53
Brandy Ayala,male,group A,some college,standard,completed,61,51,52
Timothy Campbell,female,group B,high school,standard,none,81,91,89
Cameron Galloway,female,group B,some college,free/reduced,completed,48,56,58
Susan Mercer,female,group D,master's degree,standard,none,53,61,68
Katrina Shields,female,group D,some high school,standard,none,81,97,96
Maria Martinez,female,group E,some high school,standard,none,77,79,80
Gerald Stone,female,group D,bachelor's degree,free/reduced,none,63,73,78
Kristen Woods,female,group D,associate's degree,standard,completed,73,75,80
Joel Gardner,female,group D,some college,standard,none,69,77,77
Angie Anderson,female,group C,associate's degree,standard,none,65,76,76
Cathy Gonzalez,female,group A,high school,standard,none,55,73,73
Alexandra Fleming,female,group C,bachelor's degree,free/reduced,none,44,63,62
Jeremy Russell,female,group C,some college,standard,none,54,64,65
Taylor Thomas,female,group A,some high school,standard,none,48,66,65
Melissa Brown,male,group C,some college,free/reduced,none,58,57,54
James Hernandez,male,group A,some high school,standard,none,71,62,50
William Nelson,male,group E,bachelor's degree,standard,none,68,68,64
Daniel Ellis,female,group E,high school,standard,none,74,76,73
Victoria Williamson,female,group C,bachelor's degree,standard,completed,92,100,99
Brian Sloan,female,group C,bachelor's degree,standard,completed,56,79,72
Mr. Jason Russell MD,male,group B,high school,free/reduced,none,30,24,15
Michael Salazar,male,group A,some high school,standard,none,53,54,48
Nicole Harper,female,group D,high school,standard,none,69,77,73
Steven Daniels,female,group D,some high school,standard,none,65,82,81
Jason Hutchinson,female,group D,master's degree,standard,none,54,60,63
Ralph Zhang,female,group C,high school,standard,none,29,29,30
Kelly Walters,female,group E,some college,standard,none,76,78,80
Daniel Franklin,male,group D,high school,free/reduced,none,60,57,51
Haley Hill,male,group D,master's degree,free/reduced,completed,84,89,90
Stephanie Hernandez,male,group C,some high school,standard,none,75,72,62
Nathan Austin,female,group C,associate's degree,standard,none,85,84,82
Ashley Davis,female,group C,master's degree,free/reduced,none,40,58,54
Jerry Gonzalez,female,group E,some college,standard,none,61,64,62
Michael Williams,female,group B,associate's degree,standard,none,58,63,65
Christine Benton,male,group D,some college,free/reduced,completed,69,60,63
Daniel Arnold,female,group C,some college,standard,none,58,59,66
Joshua Becker,male,group C,bachelor's degree,standard,completed,94,90,91
Brian Medina,female,group C,associate's degree,standard,none,65,77,74
Philip Harrison,female,group A,associate's degree,standard,none,82,93,93
Matthew Wilcox,female,group C,high school,standard,none,60,68,72
Henry Thornton,female,group E,bachelor's degree,standard,none,37,45,38
Tamara Hartman,male,group D,bachelor's degree,standard,none,88,78,83
Laurie Chandler,male,group D,master's degree,standard,none,95,81,84
Rebecca Thompson,male,group C,associate's degree,free/reduced,completed,65,73,68
James Collins,female,group C,high school,free/reduced,none,35,61,54
Veronica Osborn,male,group B,bachelor's degree,free/reduced,none,62,63,56
Brianna Cook,male,group C,high school,free/reduced,completed,58,51,52
Zachary Burgess,male,group A,some college,standard,completed,100,96,86
Richard Lawrence,female,group E,bachelor's degree,free/reduced,none,61,58,62
Jill Allen,male,group D,some college,standard,completed,100,97,99
Timothy Hoover,male,group B,associate's degree,free/reduced,completed,69,70,63
Timothy Wilson,male,group D,associate's degree,standard,none,61,48,46
Robin Gonzalez,male,group D,some college,free/reduced,none,49,57,46
John Fitzpatrick,female,group C,some high school,standard,completed,44,51,55
Amber Escobar,male,group D,some college,standard,none,67,64,70
Patricia Jacobson,male,group B,high school,standard,none,79,60,65
Alan Moore,female,group B,bachelor's degree,standard,completed,66,74,81
Bradley Greene,female,group C,high school,standard,none,75,88,85
John Hooper,male,group D,some high school,standard,none,84,84,80
Anthony Shaw,male,group A,high school,standard,none,71,74,64
Jeremy Foster,female,group B,high school,free/reduced,completed,67,80,81
Christopher Taylor,female,group D,some high school,standard,completed,80,92,88
Carolyn Porter,male,group E,some college,standard,none,86,76,74
Malik Delacruz,female,group D,associate's degree,standard,none,76,74,73
Karen Martin,male,group D,high school,standard,none,41,52,51
Zachary Woodard,female,group D,associate's degree,free/reduced,completed,74,88,90
Elizabeth Snyder,female,group B,some high school,free/reduced,none,72,81,79
Bailey Pacheco,female,group E,high school,standard,completed,74,79,80
Laura Wolfe,male,group B,high school,standard,none,70,65,60
Amy Murphy,female,group B,bachelor's degree,standard,completed,65,81,81
Tyler Hicks,female,group D,associate's degree,standard,none,59,70,65
James Parker,female,group E,high school,free/reduced,none,64,62,68
Stacy Powell,female,group B,high school,standard,none,50,53,55
Regina Garza,female,group D,some college,standard,completed,69,79,81
Joshua Guerrero,male,group C,some high school,free/reduced,completed,51,56,53
Kara Lewis,female,group A,high school,standard,completed,68,80,76
Marc Wells,female,group D,some college,standard,completed,85,86,98
Nina Stout,female,group A,associate's degree,standard,completed,65,70,74
Gail Townsend,female,group B,some high school,standard,none,73,79,79
Cheyenne Davis,female,group B,some college,standard,none,62,67,67
Chad Jenkins,male,group C,associate's degree,free/reduced,none,77,67,64
Sabrina Wright,male,group D,some high school,standard,none,69,66,61
Angela King,female,group D,associate's degree,free/reduced,none,43,60,58
Teresa Krueger,male,group D,associate's degree,standard,none,90,87,85
Michelle Williams,male,group C,some college,free/reduced,none,74,77,73
Patricia Hatfield,male,group C,some high school,standard,none,73,66,63
Brenda Beck,female,group D,some college,free/reduced,none,55,71,69
Erin Robinson,female,group C,high school,standard,none,65,69,67
Thomas Boyd,male,group D,associate's degree,standard,none,80,63,63
Melissa Sherman,female,group C,some high school,free/reduced,completed,50,60,60
Thomas Vazquez,female,group C,some college,free/reduced,completed,63,73,71
David Sanders,female,group B,bachelor's degree,free/reduced,none,77,85,87
Brooke Mayo,male,group C,some college,standard,none,73,74,61
Mr. Matthew Hampton,male,group D,associate's degree,standard,completed,81,72,77
Edward Gilbert,female,group C,high school,free/reduced,none,66,76,68
Brian Ellis,male,group D,associate's degree,free/reduced,none,52,57,50
Kathleen Hill,female,group C,some college,standard,none,69,78,76
Patrick Brooks,female,group C,associate's degree,standard,completed,65,84,84
Julie Villa,female,group D,high school,standard,completed,69,77,78
Joy Peterson,female,group B,some college,standard,completed,50,64,66
Derek Murray,female,group E,some college,standard,completed,73,78,76
Joanna Cook,female,group C,some high school,standard,completed,70,82,76
Shelley Hill,male,group D,associate's degree,free/reduced,none,81,75,78
Debra Reyes,male,group D,some college,free/reduced,none,63,61,60
Kelsey Blake,female,group D,high school,standard,none,67,72,74
Kevin Fitzgerald,male,group B,high school,standard,none,60,68,60
Mitchell Kim,male,group B,high school,standard,none,62,55,54
Joshua Cole,female,group C,some high school,free/reduced,completed,29,40,44
Jesse Matthews,male,group B,some college,standard,completed,62,66,68
Mr. Joseph Keller,female,group E,master's degree,standard,completed,94,99,100
Lindsay Kim,male,group E,some college,standard,completed,85,75,68
Mary Clayton,male,group D,associate's degree,free/reduced,none,77,78,73
Taylor Coleman,male,group A,high school,free/reduced,none,53,58,44
Jamie Garcia,male,group E,some college,free/reduced,none,93,90,83
Shawna Decker,female,group C,associate's degree,standard,none,49,53,53
Amanda Levine,female,group E,associate's degree,free/reduced,none,73,76,78
Rebecca Smith,female,group C,bachelor's degree,free/reduced,completed,66,74,81
Dale Anderson,female,group D,associate's degree,standard,none,77,77,73
Anthony Campos,female,group C,some high school,standard,none,49,63,56
Thomas Arnold,female,group D,some college,free/reduced,none,79,89,86
James Meyer,female,group C,associate's degree,standard,completed,75,82,90
William Chen,female,group A,bachelor's degree,standard,none,59,72,70
Anna Henry,female,group D,associate's degree,standard,completed,57,78,79
Tammie Griffith,male,group C,high school,free/reduced,none,66,66,59
Paul Jackson,female,group E,bachelor's degree,standard,completed,79,81,82
Daniel Douglas,female,group B,some high school,standard,none,57,67,72
Jenna Sutton,male,group A,bachelor's degree,standard,completed,87,84,87
Erin Smith,female,group D,some college,standard,none,63,64,67
Janice Collins,female,group B,some high school,free/reduced,completed,59,63,64
Elizabeth Walker,male,group A,bachelor's degree,free/reduced,none,62,72,65
Janice Campbell,male,group D,high school,standard,none,46,34,36
Jay Oliver,male,group C,some college,standard,none,66,59,52
Melanie Hall,male,group D,high school,standard,none,89,87,79
Zachary Perkins,female,group D,associate's degree,free/reduced,completed,42,61,58
Heather Grimes,male,group C,some college,standard,completed,93,84,90
Christopher Wells,female,group E,some high school,standard,completed,80,85,85
Gerald Walker,female,group D,some college,standard,none,98,100,99
William Burton,male,group D,master's degree,standard,none,81,81,84
Stephanie Frazier,female,group B,some high school,standard,completed,60,70,74
Yvonne Wilson,female,group B,associate's degree,free/reduced,completed,76,94,87
Lori Harrison,male,group C,associate's degree,standard,completed,73,78,72
Denise Fox,female,group C,associate's degree,standard,completed,96,96,99
Kevin Russo,female,group C,high school,standard,none,76,76,74
Donald Holland,male,group E,associate's degree,free/reduced,completed,91,73,80
Kevin Garcia,female,group C,some college,free/reduced,none,62,72,70
Megan Turner,male,group D,some high school,free/reduced,completed,55,59,59
Glenn Gill,female,group B,some high school,free/reduced,completed,74,90,88
Timothy Smith,male,group C,high school,standard,none,50,48,42
Caleb Sims,male,group B,some college,standard,none,47,43,41
Kim Skinner,male,group E,some college,standard,completed,81,74,71
Melissa Perry,female,group E,associate's degree,standard,completed,65,75,77
Sergio Garcia,male,group E,some high school,standard,completed,68,51,57
Hannah Lawson,female,group D,high school,free/reduced,none,73,92,84
Elaine Bryan,male,group C,some college,standard,none,53,39,37
Shawn Bell,female,group B,associate's degree,free/reduced,completed,68,77,80
Jeffrey Watson,male,group A,some high school,free/reduced,none,55,46,43
Nicole Jones,female,group C,some college,standard,completed,87,89,94
Danny Murphy,male,group D,some high school,standard,none,55,47,44
Justin Green,female,group E,some college,free/reduced,none,53,58,57
Robert Johnson,male,group C,master's degree,standard,none,67,57,59
Devin Guzman,male,group C,associate's degree,standard,none,92,79,84
Michael Cummings,female,group B,some college,free/reduced,completed,53,66,73
Abigail Kim,male,group D,associate's degree,standard,none,81,71,73
Aaron Robinson,male,group C,high school,free/reduced,none,61,60,55
Marvin Scott,male,group D,bachelor's degree,standard,none,80,73,72
Steven Berry,female,group A,associate's degree,free/reduced,none,37,57,56
Oscar Jones,female,group C,high school,standard,none,81,84,82
Christina Long,female,group C,associate's degree,standard,completed,59,73,72
Ronald Andrews,male,group B,some college,free/reduced,none,55,55,47
Breanna Stokes,male,group D,associate's degree,standard,none,72,79,74
Max Collins,male,group D,high school,standard,none,69,75,71
Joan Taylor,male,group C,some college,standard,none,69,64,68
Lawrence Wilson,female,group C,bachelor's degree,free/reduced,none,50,60,59
Jeffrey Hickman,male,group B,some college,standard,completed,87,84,86
Eric Wilson,male,group D,some high school,standard,completed,71,69,68
Kathy Diaz,male,group E,some college,standard,none,68,72,65
Julie Hess,male,group C,master's degree,free/reduced,completed,79,77,75
Jason Boone DDS,female,group C,some high school,standard,completed,77,90,85
Megan Lambert,male,group C,associate's degree,free/reduced,none,58,55,53
Christopher Flores,female,group E,associate's degree,standard,none,84,95,92
William Singh,male,group D,some college,standard,none,55,58,52
Rachel Greer,male,group E,bachelor's degree,free/reduced,completed,70,68,72
Rachel Benitez,female,group D,some college,free/reduced,completed,52,59,65
Brian Rice,male,group B,some college,standard,completed,69,77,77
Leah Lee,female,group C,high school,free/reduced,none,53,72,64
Todd Hamilton,female,group D,some high school,standard,none,48,58,54
Mark Boyd,male,group D,some high school,standard,completed,78,81,86
Crystal Nguyen,female,group B,high school,standard,none,62,62,63
John Lee,male,group D,some college,standard,none,60,63,59
Kristi Hill,female,group B,high school,standard,none,74,72,72
Deborah Mccoy,female,group C,high school,standard,completed,58,75,77
Jeffrey Burton,male,group B,high school,standard,completed,76,62,60
Janice Johnson,female,group D,some high school,standard,none,68,71,75
Nicole Johnson,male,group A,some college,free/reduced,none,58,60,57
Leslie Woods,male,group B,high school,standard,none,52,48,49
Gina Davidson,male,group D,bachelor's degree,standard,none,75,73,74
Dave Daugherty,female,group B,some high school,free/reduced,completed,52,67,72
Audrey Rhodes,female,group C,bachelor's degree,free/reduced,none,62,78,79
Michael Adams,male,group B,some college,standard,none,66,65,60
Kristine Morgan,female,group B,some high school,free/reduced,none,49,58,55
Edwin Murphy,female,group B,high school,standard,none,66,72,70
Frederick Clark,female,group C,some college,free/reduced,none,35,44,43
Heidi Brennan,female,group A,some college,standard,completed,72,79,82
Jill Marshall,male,group E,associate's degree,standard,completed,94,85,82
Adam Love,female,group D,associate's degree,free/reduced,none,46,56,57
Adam Mack,female,group B,master's degree,standard,none,77,90,84
Alexandra Burke,female,group B,high school,free/reduced,completed,76,85,82
Pamela Fry,female,group C,associate's degree,standard,completed,52,59,62
Austin Peterson,male,group C,bachelor's degree,standard,completed,91,81,79
Jose Tran,female,group B,some high school,standard,completed,32,51,44
Taylor Brown,female,group E,some high school,free/reduced,none,72,79,77
Drew Gonzalez,female,group B,some college,standard,none,19,38,32
Shari Rasmussen,male,group C,associate's degree,free/reduced,none,68,65,61
Cynthia Green,female,group C,master's degree,free/reduced,none,52,65,61
Karen Ware,female,group B,high school,standard,none,48,62,60
Michael Collins,female,group D,some college,free/reduced,none,60,66,70
Earl Mccarthy,male,group D,high school,free/reduced,none,66,74,69
Timothy Clark,male,group E,some high school,standard,completed,89,84,77
Kelsey Nichols,female,group B,high school,standard,none,42,52,51
Casey Quinn,female,group E,associate's degree,free/reduced,completed,57,68,73
Tiffany Reid,male,group D,high school,standard,none,70,70,70
David Bryant,female,group E,associate's degree,free/reduced,none,70,84,81
Dawn Mason,male,group E,some college,standard,none,69,60,54
Nicole Brown,female,group C,associate's degree,standard,none,52,55,57
Victoria Grimes,male,group C,some high school,standard,completed,67,73,68
Lauren Ward,male,group C,some high school,standard,completed,76,80,73
Judith Bryan,female,group E,associate's degree,standard,none,87,94,95
Douglas Bailey,female,group B,some college,standard,none,82,85,87
Patricia Harris,female,group C,some college,standard,none,73,76,78
Eric Barnett,male,group A,some college,free/reduced,none,75,81,74
Eric Garrett,female,group D,some college,free/reduced,none,64,74,75
Katherine Kim,female,group E,high school,free/reduced,none,41,45,40
Kelsey Baker,male,group C,high school,standard,none,90,75,69
Robert Boone,male,group B,bachelor's degree,standard,none,59,54,51
Mary Henderson,male,group A,some high school,standard,none,51,31,36
Kim Rubio,male,group A,high school,free/reduced,none,45,47,49
Diana Brewer,female,group C,master's degree,standard,completed,54,64,67
Robert Martinez,male,group E,some high school,standard,completed,87,84,76
Sandra Durham,female,group C,high school,standard,none,72,80,83
Michael Shaffer,male,group B,some high school,standard,completed,94,86,87
Kayla Smith,female,group A,bachelor's degree,standard,none,45,59,64
Ashley Kennedy,male,group D,bachelor's degree,free/reduced,completed,61,70,76
Manuel Martinez,female,group B,high school,free/reduced,none,60,72,68
Sara Hunt,female,group C,some high school,standard,none,77,91,88
Troy Wood,female,group A,some high school,standard,completed,85,90,92
Whitney Walker,female,group D,bachelor's degree,free/reduced,none,78,90,93
Jason Freeman,male,group E,some college,free/reduced,completed,49,52,51
Stephanie Bean,female,group B,high school,free/reduced,none,71,87,82
Paul Shaw,female,group C,some high school,free/reduced,none,48,58,52
Stephanie King,male,group C,high school,standard,none,62,67,58
Timothy Thomas,female,group C,associate's degree,free/reduced,completed,56,68,70
Renee Martinez,female,group C,some high school,standard,none,65,69,76
Deborah Edwards,female,group D,some high school,free/reduced,completed,69,86,81
Charles Grant,male,group B,some high school,standard,none,68,54,53
Wesley Davis,female,group A,some college,free/reduced,none,61,60,57
Jason James,female,group C,bachelor's degree,free/reduced,completed,74,86,89
Keith Walker,male,group A,bachelor's degree,standard,none,64,60,58
Megan Flores,female,group B,high school,standard,completed,77,82,89
Zachary Nguyen,male,group B,some college,standard,none,58,50,45
Joseph Gomez,female,group C,high school,standard,completed,60,64,74
Nicole Perez,male,group E,high school,standard,none,73,64,57
Stacy Cruz,female,group A,high school,standard,completed,75,82,79
Randall Thompson,male,group B,associate's degree,free/reduced,completed,58,57,53
Regina Hodges,female,group C,associate's degree,standard,none,66,77,73
Tiffany Bridges,female,group D,high school,free/reduced,none,39,52,46
Elizabeth Dean,male,group C,some high school,standard,none,64,58,51
Daniel Flowers,female,group B,high school,free/reduced,completed,23,44,36
Nathan Porter,male,group B,some college,free/reduced,completed,74,77,76
Valerie Norton,female,group D,some high school,free/reduced,completed,40,65,64
Austin Jacobson,male,group E,master's degree,standard,none,90,85,84
Blake Young,male,group C,master's degree,standard,completed,91,85,85
Debbie Shaw,male,group D,high school,standard,none,64,54,50
Sandra Ward,female,group C,high school,standard,none,59,72,68
Steven Schultz,male,group D,associate's degree,standard,none,80,75,69
Benjamin Johnson,male,group C,master's degree,standard,none,71,67,67
Madison Russell,female,group A,high school,standard,none,61,68,63
Ian Molina,female,group E,some college,standard,none,87,85,93
Theresa Lewis,male,group E,some high school,standard,none,82,67,61
Paula Lawson,male,group C,some high school,standard,none,62,64,55
Andrew Burns,female,group B,bachelor's degree,standard,none,97,97,96
Kenneth Pearson,male,group B,some college,free/reduced,none,75,68,65
Theresa Norman,female,group C,bachelor's degree,standard,none,65,79,81
Christopher Martinez,male,group B,high school,standard,completed,52,49,46
Michelle Ruiz,male,group C,associate's degree,free/reduced,none,87,73,72
Nicholas Ryan,female,group C,associate's degree,standard,none,53,62,53
James Wells,female,group E,master's degree,free/reduced,none,81,86,87
James Hahn,male,group D,bachelor's degree,free/reduced,completed,39,42,38
Albert Williams,female,group C,some college,standard,completed,71,71,80
Drew Gamble,male,group C,associate's degree,standard,none,97,93,91
Mr. Cory Reed,male,group D,some college,standard,completed,82,82,88
Eric Chandler,male,group C,high school,free/reduced,none,59,53,52
Catherine Park,male,group B,associate's degree,standard,none,61,42,41
Kirsten Oconnor,male,group E,associate's degree,free/reduced,completed,78,74,72
Sally Lynn,male,group C,associate's degree,free/reduced,none,49,51,51
Todd Miller,male,group B,high school,standard,none,59,58,47
Dana Vargas,female,group C,some college,standard,completed,70,72,76
Jeremiah Shelton,male,group B,associate's degree,standard,completed,82,84,78
Belinda Thornton,male,group E,associate's degree,free/reduced,none,90,90,82
Richard Simon,female,group C,bachelor's degree,free/reduced,none,43,62,61
Mrs. Karen Morgan MD,male,group C,some college,free/reduced,none,80,64,66
Anthony Ray,male,group D,some college,standard,none,81,82,84
Norma Harris,male,group C,some high school,standard,none,57,61,54
Courtney Wright,female,group D,some high school,standard,none,59,72,80
Scott Thompson,female,group D,associate's degree,standard,none,64,76,74
Kenneth Andrews,male,group C,bachelor's degree,standard,completed,63,64,66
Julie King,female,group E,bachelor's degree,standard,completed,71,70,70
Laurie Dominguez,female,group B,high school,free/reduced,none,64,73,71
Stephanie Mcgee,male,group D,bachelor's degree,free/reduced,none,55,46,44
Alyssa Johnson,female,group E,associate's degree,standard,none,51,51,54
Scott Duran,female,group C,associate's degree,standard,completed,62,76,80
Philip Horn,female,group E,associate's degree,standard,completed,93,100,95
Robert Moore,male,group C,high school,free/reduced,none,54,72,59
Debra Atkins,female,group D,some college,free/reduced,none,69,65,74
Jeremy Clark,male,group D,high school,free/reduced,none,44,51,48
Whitney Lee,female,group E,some college,standard,completed,86,85,91
Deanna Robinson,female,group E,associate's degree,standard,none,85,92,85
Thomas Taylor,female,group A,master's degree,free/reduced,none,50,67,73
Bryce Phelps,male,group D,some high school,standard,completed,88,74,75
Amanda Gomez,female,group E,associate's degree,standard,none,59,62,69
Andrew Valencia,female,group E,some high school,free/reduced,none,32,34,38
Edward Blanchard,male,group B,high school,free/reduced,none,36,29,27
Summer Sharp,female,group B,some high school,free/reduced,completed,63,78,79
Stephanie Bryant,male,group D,associate's degree,standard,completed,67,54,63
Stephen Riley,female,group D,some high school,standard,completed,65,78,82
Mark Hoffman,male,group D,master's degree,standard,none,85,84,89
Alicia Hanna,female,group C,master's degree,standard,none,73,78,74
Brandi Mora,female,group A,high school,free/reduced,completed,34,48,41
Sherry Wilson,female,group D,bachelor's degree,free/reduced,completed,93,100,100
Theodore Henderson,female,group D,some high school,free/reduced,none,67,84,84
Erin Hood,male,group D,some college,standard,none,88,77,77
Dylan Baker,male,group B,high school,standard,none,57,48,51
Taylor Vega,female,group D,some college,standard,completed,79,84,91
Jeffrey Blake,female,group C,bachelor's degree,free/reduced,none,67,75,72
Richard Calderon,male,group E,bachelor's degree,standard,completed,70,64,70
Miss Carla Ford,male,group D,bachelor's degree,free/reduced,none,50,42,48
Elizabeth Kennedy,female,group A,some college,standard,none,69,84,82
